"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3471","Ошибка при отсутствии полного имени","","Tue Dec 17 21:27:34 GMT 2024","passed","Tue Dec 17 21:27:38 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","3099","Успешная регистрация с валидными данными","","Tue Dec 17 21:27:48 GMT 2024","passed","Tue Dec 17 21:27:51 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","216","Ошибка при отсутствии email","","Tue Dec 17 21:27:33 GMT 2024","passed","Tue Dec 17 21:27:34 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","4753","Успешный вход с валидными данными","","Tue Dec 17 21:27:40 GMT 2024","passed","Tue Dec 17 21:27:45 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","177","Ошибка при неверном email","","Tue Dec 17 21:27:33 GMT 2024","passed","Tue Dec 17 21:27:33 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","176","Ошибка при пустом теле запроса","","Tue Dec 17 21:27:33 GMT 2024","passed","Tue Dec 17 21:27:33 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","280","Успешный логин существующего пользователя","","Tue Dec 17 21:27:34 GMT 2024","passed","Tue Dec 17 21:27:34 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","3248","Ошибка при несовпадении паролей","","Tue Dec 17 21:27:45 GMT 2024","passed","Tue Dec 17 21:27:48 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","3489","Ошибка при слишком коротком пароле","","Tue Dec 17 21:27:41 GMT 2024","passed","Tue Dec 17 21:27:45 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","3495","Ошибка при отсутствии Email","","Tue Dec 17 21:27:38 GMT 2024","passed","Tue Dec 17 21:27:41 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","682","Ошибка при неверном пароле","","Tue Dec 17 21:27:32 GMT 2024","passed","Tue Dec 17 21:27:33 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","3424","Ошибка при незаполненном email","","Tue Dec 17 21:27:32 GMT 2024","passed","Tue Dec 17 21:27:36 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","3357","Ошибка при незаполненных полях","","Tue Dec 17 21:27:36 GMT 2024","passed","Tue Dec 17 21:27:40 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","173","Ошибка при отсутствии password","","Tue Dec 17 21:27:34 GMT 2024","passed","Tue Dec 17 21:27:34 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
