"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2769","Ошибка при незаполненных полях","","Tue Dec 17 19:58:38 GMT 2024","passed","Tue Dec 17 19:58:41 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","2790","Ошибка при незаполненном email","","Tue Dec 17 19:58:34 GMT 2024","passed","Tue Dec 17 19:58:37 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","3429","Ошибка при отсутствии Email","","Tue Dec 17 19:58:40 GMT 2024","passed","Tue Dec 17 19:58:43 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","157","Ошибка при отсутствии email","","Tue Dec 17 19:58:35 GMT 2024","passed","Tue Dec 17 19:58:36 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","163","Ошибка при неверном email","","Tue Dec 17 19:58:35 GMT 2024","passed","Tue Dec 17 19:58:35 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","161","Ошибка при отсутствии password","","Tue Dec 17 19:58:36 GMT 2024","passed","Tue Dec 17 19:58:36 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","3084","Ошибка при несовпадении паролей","","Tue Dec 17 19:58:47 GMT 2024","passed","Tue Dec 17 19:58:50 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","309","Успешный логин существующего пользователя","","Tue Dec 17 19:58:36 GMT 2024","passed","Tue Dec 17 19:58:36 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","871","Ошибка при неверном пароле","","Tue Dec 17 19:58:34 GMT 2024","passed","Tue Dec 17 19:58:35 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","3466","Ошибка при отсутствии полного имени","","Tue Dec 17 19:58:36 GMT 2024","passed","Tue Dec 17 19:58:40 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","170","Ошибка при пустом теле запроса","","Tue Dec 17 19:58:35 GMT 2024","passed","Tue Dec 17 19:58:35 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","4094","Успешный вход с валидными данными","","Tue Dec 17 19:58:41 GMT 2024","passed","Tue Dec 17 19:58:45 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","2962","Успешная регистрация с валидными данными","","Tue Dec 17 19:58:50 GMT 2024","passed","Tue Dec 17 19:58:53 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","3487","Ошибка при слишком коротком пароле","","Tue Dec 17 19:58:43 GMT 2024","passed","Tue Dec 17 19:58:47 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
