"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","705","Ошибка при неверном пароле","","Tue Dec 17 21:32:31 GMT 2024","passed","Tue Dec 17 21:32:32 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","3454","Ошибка при отсутствии полного имени","","Tue Dec 17 21:32:33 GMT 2024","passed","Tue Dec 17 21:32:36 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","3152","Ошибка при слишком коротком пароле","","Tue Dec 17 21:32:40 GMT 2024","passed","Tue Dec 17 21:32:43 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","159","Ошибка при отсутствии email","","Tue Dec 17 21:32:32 GMT 2024","passed","Tue Dec 17 21:32:32 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","3287","Ошибка при незаполненных полях","","Tue Dec 17 21:32:34 GMT 2024","passed","Tue Dec 17 21:32:37 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","2865","Ошибка при незаполненном email","","Tue Dec 17 21:32:31 GMT 2024","passed","Tue Dec 17 21:32:34 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","221","Ошибка при неверном email","","Tue Dec 17 21:32:32 GMT 2024","passed","Tue Dec 17 21:32:32 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","159","Ошибка при пустом теле запроса","","Tue Dec 17 21:32:32 GMT 2024","passed","Tue Dec 17 21:32:32 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","3135","Ошибка при несовпадении паролей","","Tue Dec 17 21:32:43 GMT 2024","passed","Tue Dec 17 21:32:46 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","162","Ошибка при отсутствии password","","Tue Dec 17 21:32:32 GMT 2024","passed","Tue Dec 17 21:32:32 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","3277","Ошибка при отсутствии Email","","Tue Dec 17 21:32:36 GMT 2024","passed","Tue Dec 17 21:32:40 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","4156","Успешный вход с валидными данными","","Tue Dec 17 21:32:37 GMT 2024","passed","Tue Dec 17 21:32:41 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","299","Успешный логин существующего пользователя","","Tue Dec 17 21:32:32 GMT 2024","passed","Tue Dec 17 21:32:33 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","3005","Успешная регистрация с валидными данными","","Tue Dec 17 21:32:46 GMT 2024","passed","Tue Dec 17 21:32:49 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
