"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","124","Ошибка при отсутствии password","","Tue Dec 17 16:14:25 GMT 2024","passed","Tue Dec 17 16:14:25 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2430","Ошибка при незаполненном email","","Tue Dec 17 16:14:24 GMT 2024","passed","Tue Dec 17 16:14:26 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","1098","Ошибка при неверном пароле","","Tue Dec 17 16:14:24 GMT 2024","passed","Tue Dec 17 16:14:25 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","3357","Успешный вход с валидными данными","","Tue Dec 17 16:14:29 GMT 2024","passed","Tue Dec 17 16:14:32 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","3064","Ошибка при отсутствии полного имени","","Tue Dec 17 16:14:26 GMT 2024","passed","Tue Dec 17 16:14:29 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","2673","Ошибка при несовпадении паролей","","Tue Dec 17 16:14:35 GMT 2024","passed","Tue Dec 17 16:14:38 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","123","Ошибка при отсутствии email","","Tue Dec 17 16:14:25 GMT 2024","passed","Tue Dec 17 16:14:25 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2465","Ошибка при незаполненных полях","","Tue Dec 17 16:14:26 GMT 2024","passed","Tue Dec 17 16:14:29 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","3151","Ошибка при отсутствии Email","","Tue Dec 17 16:14:29 GMT 2024","passed","Tue Dec 17 16:14:32 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","124","Ошибка при пустом теле запроса","","Tue Dec 17 16:14:25 GMT 2024","passed","Tue Dec 17 16:14:25 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","126","Ошибка при неверном email","","Tue Dec 17 16:14:25 GMT 2024","passed","Tue Dec 17 16:14:25 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2915","Ошибка при слишком коротком пароле","","Tue Dec 17 16:14:32 GMT 2024","passed","Tue Dec 17 16:14:35 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","2537","Успешная регистрация с валидными данными","","Tue Dec 17 16:14:38 GMT 2024","passed","Tue Dec 17 16:14:40 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","240","Успешный логин существующего пользователя","","Tue Dec 17 16:14:25 GMT 2024","passed","Tue Dec 17 16:14:26 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
