"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2613","Ошибка при незаполненном email","","Tue Dec 17 15:57:32 GMT 2024","passed","Tue Dec 17 15:57:35 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","628","Ошибка при неверном пароле","","Tue Dec 17 15:57:32 GMT 2024","passed","Tue Dec 17 15:57:33 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","186","Ошибка при пустом теле запроса","","Tue Dec 17 15:57:33 GMT 2024","passed","Tue Dec 17 15:57:33 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","3054","Ошибка при отсутствии полного имени","","Tue Dec 17 15:57:34 GMT 2024","passed","Tue Dec 17 15:57:37 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","3526","Успешный вход с валидными данными","","Tue Dec 17 15:57:38 GMT 2024","passed","Tue Dec 17 15:57:41 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","126","Ошибка при отсутствии password","","Tue Dec 17 15:57:34 GMT 2024","passed","Tue Dec 17 15:57:34 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","124","Ошибка при отсутствии email","","Tue Dec 17 15:57:33 GMT 2024","passed","Tue Dec 17 15:57:34 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2962","Ошибка при отсутствии Email","","Tue Dec 17 15:57:37 GMT 2024","passed","Tue Dec 17 15:57:40 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","3024","Ошибка при несовпадении паролей","","Tue Dec 17 15:57:43 GMT 2024","passed","Tue Dec 17 15:57:46 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","2503","Ошибка при незаполненных полях","","Tue Dec 17 15:57:35 GMT 2024","passed","Tue Dec 17 15:57:38 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","323","Успешный логин существующего пользователя","","Tue Dec 17 15:57:34 GMT 2024","passed","Tue Dec 17 15:57:34 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2533","Успешная регистрация с валидными данными","","Tue Dec 17 15:57:46 GMT 2024","passed","Tue Dec 17 15:57:49 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","130","Ошибка при неверном email","","Tue Dec 17 15:57:33 GMT 2024","passed","Tue Dec 17 15:57:33 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2718","Ошибка при слишком коротком пароле","","Tue Dec 17 15:57:40 GMT 2024","passed","Tue Dec 17 15:57:43 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
