"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","113","Ошибка при отсутствии email","","Tue Dec 17 18:59:42 GMT 2024","passed","Tue Dec 17 18:59:42 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2968","Ошибка при отсутствии Email","","Tue Dec 17 18:59:45 GMT 2024","passed","Tue Dec 17 18:59:48 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","174","Ошибка при отсутствии password","","Tue Dec 17 18:59:42 GMT 2024","passed","Tue Dec 17 18:59:42 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2888","Успешный вход с валидными данными","","Tue Dec 17 18:59:46 GMT 2024","passed","Tue Dec 17 18:59:48 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","214","Успешный логин существующего пользователя","","Tue Dec 17 18:59:42 GMT 2024","passed","Tue Dec 17 18:59:42 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","702","Ошибка при неверном пароле","","Tue Dec 17 18:59:41 GMT 2024","passed","Tue Dec 17 18:59:41 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","172","Ошибка при неверном email","","Tue Dec 17 18:59:41 GMT 2024","passed","Tue Dec 17 18:59:41 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2578","Успешная регистрация с валидными данными","","Tue Dec 17 18:59:54 GMT 2024","passed","Tue Dec 17 18:59:56 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","2420","Ошибка при несовпадении паролей","","Tue Dec 17 18:59:51 GMT 2024","passed","Tue Dec 17 18:59:54 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","2300","Ошибка при незаполненном email","","Tue Dec 17 18:59:41 GMT 2024","passed","Tue Dec 17 18:59:43 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","2985","Ошибка при отсутствии полного имени","","Tue Dec 17 18:59:42 GMT 2024","passed","Tue Dec 17 18:59:45 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","2632","Ошибка при слишком коротком пароле","","Tue Dec 17 18:59:48 GMT 2024","passed","Tue Dec 17 18:59:51 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","112","Ошибка при пустом теле запроса","","Tue Dec 17 18:59:41 GMT 2024","passed","Tue Dec 17 18:59:42 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2389","Ошибка при незаполненных полях","","Tue Dec 17 18:59:43 GMT 2024","passed","Tue Dec 17 18:59:46 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
