"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3138","Успешный вход с валидными данными","","Tue Dec 17 15:38:27 GMT 2024","passed","Tue Dec 17 15:38:30 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","2865","Ошибка при отсутствии Email","","Tue Dec 17 15:38:27 GMT 2024","passed","Tue Dec 17 15:38:30 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","247","Успешный логин существующего пользователя","","Tue Dec 17 15:38:23 GMT 2024","passed","Tue Dec 17 15:38:23 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","138","Ошибка при пустом теле запроса","","Tue Dec 17 15:38:23 GMT 2024","passed","Tue Dec 17 15:38:23 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2653","Ошибка при несовпадении паролей","","Tue Dec 17 15:38:32 GMT 2024","passed","Tue Dec 17 15:38:35 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","126","Ошибка при отсутствии email","","Tue Dec 17 15:38:23 GMT 2024","passed","Tue Dec 17 15:38:23 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","596","Ошибка при неверном пароле","","Tue Dec 17 15:38:22 GMT 2024","passed","Tue Dec 17 15:38:23 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2972","Ошибка при отсутствии полного имени","","Tue Dec 17 15:38:24 GMT 2024","passed","Tue Dec 17 15:38:27 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","128","Ошибка при неверном email","","Tue Dec 17 15:38:23 GMT 2024","passed","Tue Dec 17 15:38:23 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2440","Ошибка при незаполненных полях","","Tue Dec 17 15:38:25 GMT 2024","passed","Tue Dec 17 15:38:27 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","2387","Ошибка при незаполненном email","","Tue Dec 17 15:38:22 GMT 2024","passed","Tue Dec 17 15:38:24 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","125","Ошибка при отсутствии password","","Tue Dec 17 15:38:23 GMT 2024","passed","Tue Dec 17 15:38:23 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2573","Успешная регистрация с валидными данными","","Tue Dec 17 15:38:35 GMT 2024","passed","Tue Dec 17 15:38:38 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","2718","Ошибка при слишком коротком пароле","","Tue Dec 17 15:38:30 GMT 2024","passed","Tue Dec 17 15:38:32 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
