"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2505","Ошибка при слишком коротком пароле","","Tue Dec 17 21:24:02 GMT 2024","passed","Tue Dec 17 21:24:04 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","2853","Ошибка при несовпадении паролей","","Tue Dec 17 21:24:04 GMT 2024","passed","Tue Dec 17 21:24:07 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","111","Ошибка при неверном email","","Tue Dec 17 21:23:55 GMT 2024","passed","Tue Dec 17 21:23:55 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","107","Ошибка при пустом теле запроса","","Tue Dec 17 21:23:55 GMT 2024","passed","Tue Dec 17 21:23:55 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","245","Успешный логин существующего пользователя","","Tue Dec 17 21:23:56 GMT 2024","passed","Tue Dec 17 21:23:56 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2710","Ошибка при отсутствии полного имени","","Tue Dec 17 21:23:56 GMT 2024","passed","Tue Dec 17 21:23:59 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","109","Ошибка при отсутствии password","","Tue Dec 17 21:23:56 GMT 2024","passed","Tue Dec 17 21:23:56 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","852","Ошибка при неверном пароле","","Tue Dec 17 21:23:54 GMT 2024","passed","Tue Dec 17 21:23:55 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2353","Успешная регистрация с валидными данными","","Tue Dec 17 21:24:07 GMT 2024","passed","Tue Dec 17 21:24:09 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","2512","Ошибка при незаполненном email","","Tue Dec 17 21:23:54 GMT 2024","passed","Tue Dec 17 21:23:57 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","106","Ошибка при отсутствии email","","Tue Dec 17 21:23:55 GMT 2024","passed","Tue Dec 17 21:23:56 GMT 2024","API Тесты логина","api/tests/login.spec.js","",""
"","2822","Успешный вход с валидными данными","","Tue Dec 17 21:24:00 GMT 2024","passed","Tue Dec 17 21:24:03 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
"","2644","Ошибка при отсутствии Email","","Tue Dec 17 21:23:59 GMT 2024","passed","Tue Dec 17 21:24:02 GMT 2024","Тесты регистрации","ui/tests/register.spec.js","",""
"","2270","Ошибка при незаполненных полях","","Tue Dec 17 21:23:57 GMT 2024","passed","Tue Dec 17 21:24:00 GMT 2024","Тесты логина","ui/tests/login.spec.js","",""
